cid,chemicalid,chemicalname,genesymbol,geneid,taxname,taxid,interaction,pmids
   261,C018475,butyraldehyde,EP300,2033,Homo sapiens,9606,butyraldehyde results in decreased expression of EP300 mRNA,26079696
264,D020148,Butyric Acid,EP300,2033,Homo sapiens,9606,Butyric Acid results in increased expression of EP300 mRNA,23524101
370,D005707,Gallic Acid,EP300,2033,Homo sapiens,9606,[Gallic Acid binds to Gold] inhibits the reaction [EGF protein results in increased acetylation of and results in increased stability of EP300 protein]|Gallic Acid inhibits the reaction [EGF protein results in increased acetylation of and results in increased expression of EP300 protein]|EP300 protein inhibits the reaction [[Gallic Acid binds to Gold] inhibits the reaction [EGF protein results in increased expression of MMP9 protein]],27634460
544,C015001,arsenite,EP300,2033,Homo sapiens,9606,arsenite inhibits the reaction [G3BP1 protein binds to EP300 mRNA],32406909
544,C015001,arsenite,EP300,2033,Homo sapiens,9606,arsenite promotes the reaction [TP53 protein binds to EP300 protein modified form binds to CREBBP protein modified form]|EP300 protein affects the reaction [arsenite results in increased expression of BECN1 protein]|CHUK protein affects the reaction [arsenite promotes the reaction [TP53 protein binds to EP300 protein modified form binds to CREBBP protein modified form]]|CHUK protein affects the reaction [arsenite promotes the reaction [TP53 protein binds to EP300 protein binds to CREBBP protein]]|CHUK protein promotes the reaction [arsenite results in increased acetylation of EP300 protein]|CHEK1 protein affects the reaction [arsenite promotes the reaction [TP53 protein binds to EP300 protein modified form binds to CREBBP protein modified form]]|arsenite promotes the reaction [CHUK protein binds to EP300 protein modified form binds to CREBBP protein modified form]|EP300 protein affects the reaction [arsenite results in increased acetylation of TP53 protein]|EP300 protein affects the reaction [arsenite results in increased expression of and results in increased lipidation of MAP1LC3B protein]|EP300 protein affects the reaction [arsenite results in decreased expression of SQSTM1 protein]|arsenite results in increased acetylation of EP300 protein|arsenite promotes the reaction [TP53 protein binds to EP300 protein binds to CREBBP protein]|EP300 protein affects the reaction [arsenite results in increased phosphorylation of and results in increased degradation of CHUK protein]|EP300 protein affects the reaction [arsenite results in increased expression of DRAM1 protein]|arsenite promotes the reaction [EP300 protein binds to CHUK protein],33097607
612,D019344,Lactic Acid,EP300,2033,Homo sapiens,9606,Lactic Acid results in increased expression of EP300 mRNA,30851411
702,D000431,Ethanol,EP300,2033,Mus musculus,10090,Ethanol results in decreased expression of EP300 protein|Chlormethiazole inhibits the reaction [Ethanol results in decreased expression of EP300 protein],24892905
702,D000431,Ethanol,EP300,2033,Rattus norvegicus,10116,Ethanol results in increased expression of EP300 mRNA|Ethanol affects the localization of EP300 protein,31887396
936,D009536,Niacinamide,EP300,2033,NULL,NULL,Niacinamide results in increased expression of and results in increased acetylation of EP300 protein,23297412
977,D010100,Oxygen,EP300,2033,Homo sapiens,9606,Amphotericin B inhibits the reaction [Oxygen deficiency promotes the reaction [HIF1A protein binds to EP300 protein]],16189267
977,D010100,Oxygen,EP300,2033,Homo sapiens,9606,flavone inhibits the reaction [Oxygen deficiency promotes the reaction [HIF1A protein binds to EP300 protein]]|galangin promotes the reaction [Oxygen deficiency promotes the reaction [HIF1A protein binds to EP300 protein]]|Quercetin promotes the reaction [Oxygen deficiency promotes the reaction [HIF1A protein binds to EP300 protein]]|myricetin promotes the reaction [Oxygen deficiency promotes the reaction [HIF1A protein binds to EP300 protein]]|kaempferol promotes the reaction [Oxygen deficiency promotes the reaction [HIF1A protein binds to EP300 protein]]|Apigenin inhibits the reaction [Oxygen deficiency promotes the reaction [HIF1A protein binds to EP300 protein]]|fisetin promotes the reaction [Oxygen deficiency promotes the reaction [HIF1A protein binds to EP300 protein]],20153296
977,D010100,Oxygen,EP300,2033,Homo sapiens,9606,Oxygen deficiency promotes the reaction [HIF1A protein binds to EP300 protein],16189267|20153296
1046,D011718,Pyrazinamide,EP300,2033,Rattus norvegicus,10116,Pyrazinamide results in decreased expression of EP300 mRNA,22431067
1254,D008610,Menthol,EP300,2033,Homo sapiens,9606,Menthol results in decreased expression of EP300 mRNA,26760959
1645,C025160,3-aminobenzamide,EP300,2033,Rattus norvegicus,10116,3-aminobenzamide inhibits the reaction [Streptozocin results in increased expression of EP300 mRNA],22228707
2214,C056165,acetovanillone,EP300,2033,Homo sapiens,9606,acetovanillone inhibits the reaction [IL1B promotes the reaction [EP300 protein binds to RELA protein]],19281832
2256,D001280,Atrazine,EP300,2033,Danio rerio,7955,Atrazine results in decreased expression of EP300 mRNA,25929836
2337,D016264,Dextran Sulfate,EP300,2033,Mus musculus,10090,[titanium dioxide co-treated with Azoxymethane co-treated with Dextran Sulfate] results in decreased expression of EP300 mRNA,29950665
