PubChem CID,Protein Target
261,EP300
264,EP300
370,EP300
544,EP300
612,EP300
977,EP300
1254,EP300
2214,EP300
2353,EP300
3101,EP300
3121,EP300
3385,EP300
3496,EP300
3840,EP300
4055,EP300
4261,EP300
4477,EP300
4594,EP300
4713,EP300
5311,EP300
5350,EP300
5641,EP300
5694,EP300
5743,EP300
5757,EP300
6041,EP300
6623,EP300
6636,EP300
6758,EP300
9033,EP300
9117,EP300
9880,EP300
10635,EP300
10680,EP300
12035,EP300
12550,EP300
15625,EP300
16078,EP300
20393,EP300
23978,EP300
23985,EP300
23994,EP300
24261,EP300
24288,EP300
24360,EP300
24462,EP300
24934,EP300
27924,EP300
31401,EP300
31703,EP300
32014,EP300
36462,EP300
37036,EP300
39929,EP300
40024,EP300
42128,EP300
60838,EP300
73864,EP300
107935,EP300
114835,EP300
160511,EP300
185617,EP300
245005,EP300
261000,EP300
441203,EP300
442530,EP300
443495,EP300
444732,EP300
444795,EP300
445154,EP300
446512,EP300
448537,EP300
451668,EP300
462382,EP300
518605,EP300
969516,EP300
2733526,EP300
2940609,EP300
3034285,EP300
5280343,EP300
5280360,EP300
5280443,EP300
5280863,EP300
5280884,EP300
5280885,EP300
5280961,EP300
5280965,EP300
5281614,EP300
5281616,EP300
5281672,EP300
5281855,EP300
5311211,EP300
5315263,EP300
5329102,EP300
5353431,EP300
5359596,EP300
5359597,EP300
5371560,EP300
5388781,EP300
5490884,EP300
6422843,EP300
6437058,EP300
9576412,EP300
9956119,EP300
11285653,EP300
15951529,EP300
25104564,EP300
46907787,EP300
71236992,EP300
71715374,EP300
72201027,EP300
