cid,chemicalid,chemicalname,genesymbol,geneid,taxname,taxid,interaction,pmids
   70,C013082,alpha-ketoisocaproic acid,INS,3630,Mesocricetus auratus,10036,alpha-ketoisocaproic acid promotes the reaction [Glucose results in increased secretion of INS protein],22664483
187,D000109,Acetylcholine,INS,3630,Gallus gallus,9031,Acetylcholine results in increased secretion of INS protein|Diazoxide inhibits the reaction [Acetylcholine results in increased secretion of INS protein]|LEP protein inhibits the reaction [Acetylcholine results in increased secretion of INS protein]|Tolbutamide inhibits the reaction [LEP protein inhibits the reaction [Acetylcholine results in increased secretion of INS protein]],12734786
241,D001554,Benzene,INS,3630,Mus musculus,10090,Benzene inhibits the reaction [INS results in increased phosphorylation of AKT1 protein],30346588
277,C070766,carbamic acid,INS,3630,Mus musculus,10090,[1-Methyl-3-isobutylxanthine co-treated with butylbenzyl phthalate co-treated with INS protein] results in increased abundance of carbamic acid analog|[1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with INS protein] results in increased abundance of carbamic acid analog,26820058
544,C015001,arsenite,INS,3630,Homo sapiens,9606,[sodium arsenite results in increased abundance of arsenite] inhibits the reaction [Glucose results in increased secretion of INS protein],31555879
544,C015001,arsenite,INS,3630,Mus musculus,10090,arsenite inhibits the reaction [INS protein results in increased activity of GYS2 protein]|arsenite inhibits the reaction [INS protein results in decreased activity of PYGL protein],28952001
612,D019344,Lactic Acid,INS,3630,Homo sapiens,9606,INS protein results in increased secretion of Lactic Acid,25720493
670,D004098,Dihydroxyacetone,INS,3630,Mesocricetus auratus,10036,Dihydroxyacetone promotes the reaction [Glucose results in increased secretion of INS protein]|triphenyltin chloride inhibits the reaction [Dihydroxyacetone promotes the reaction [Glucose results in increased secretion of INS protein]],22664483
681,D004298,Dopamine,INS,3630,Homo sapiens,9606,Dopamine results in increased expression of INS protein|Dopamine results in increased secretion of INS protein|Dopamine promotes the reaction [Metoclopramide results in increased expression of INS protein],18645345
702,D000431,Ethanol,INS,3630,Mus musculus,10090,[[INS protein co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone] affects the susceptibility to Ethanol] which results in increased secretion of IL6 protein|[INS protein co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone] affects the susceptibility to Ethanol|Ethanol inhibits the reaction [[INS protein co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone] results in increased expression of PPARG mRNA]|Ethanol inhibits the reaction [[INS protein co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone] results in increased secretion of ADIPOQ protein]|[[INS protein co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone] affects the susceptibility to Ethanol] which results in increased secretion of CCL2 protein,32171850
750,D005998,Glycine,INS,3630,Mus musculus,10090,[1-Methyl-3-isobutylxanthine co-treated with butylbenzyl phthalate co-treated with INS protein] results in increased abundance of Glycine analog,26820058
751,D005985,Glyceraldehyde,INS,3630,Mesocricetus auratus,10036,Glyceraldehyde promotes the reaction [Glucose results in increased secretion of INS protein]|triphenyltin chloride inhibits the reaction [Glyceraldehyde promotes the reaction [Glucose results in increased secretion of INS protein]],22664483
760,C031150,glyoxylic acid,INS,3630,Mus musculus,10090,[1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with INS protein] results in decreased abundance of glyoxylic acid analog,26820058
784,D006861,Hydrogen Peroxide,INS,3630,Homo sapiens,9606,INS protein results in increased chemical synthesis of Hydrogen Peroxide|manganese(III)-tetrakis(4-benzoic acid)porphyrin inhibits the reaction [INS protein results in increased chemical synthesis of Hydrogen Peroxide],22031853
784,D006861,Hydrogen Peroxide,INS,3630,NULL,NULL,INS protein inhibits the reaction [Hydrogen Peroxide results in increased localization of FOXO1 protein],15788402
864,D008063,Thioctic Acid,INS,3630,Homo sapiens,9606,Thioctic Acid inhibits the reaction [Glucose results in increased expression of INS protein],16505238
892,D007294,Inositol,INS,3630,Mus musculus,10090,[1-Methyl-3-isobutylxanthine co-treated with butylbenzyl phthalate co-treated with INS protein] results in increased abundance of Inositol analog|[1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with INS protein] results in increased abundance of Inositol analog,26820058
936,D009536,Niacinamide,INS,3630,Homo sapiens,9606,Niacinamide inhibits the reaction [Glucose results in increased expression of INS mRNA]|Niacinamide inhibits the reaction [Glucose results in increased expression of INS protein]|Niacinamide inhibits the reaction [Glucose inhibits the reaction [MAFA protein binds to INS promoter]],16505238
967,D009963,Orotic Acid,INS,3630,Homo sapiens,9606,PIK3CA protein inhibits the reaction [[Orotic Acid inhibits the reaction [INS protein results in increased phosphorylation of NOS3 protein]] which results in decreased abundance of Nitric Oxide]|[Orotic Acid inhibits the reaction [INS protein results in increased phosphorylation of NOS3 protein]] which results in decreased abundance of Nitric Oxide|Orotic Acid inhibits the reaction [INS protein results in increased phosphorylation of AKT1 protein]|PIK3CA protein inhibits the reaction [Orotic Acid inhibits the reaction [INS protein results in increased phosphorylation of NOS3 protein]]|Orotic Acid inhibits the reaction [INS protein results in increased phosphorylation of NOS3 protein]|Orotic Acid inhibits the reaction [INS protein results in increased abundance of Nitric Oxide]|PIK3CA protein inhibits the reaction [Orotic Acid inhibits the reaction [INS protein results in increased phosphorylation of AKT1 protein]],25601987
985,D010168,Palmitates,INS,3630,Homo sapiens,9606,INS protein results in decreased oxidation of Palmitates|Testosterone promotes the reaction [INS protein results in decreased oxidation of Palmitates]|Estradiol promotes the reaction [INS protein results in decreased oxidation of Palmitates],21632903
