cid,chemicalid,chemicalname,genesymbol,geneid,taxname,taxid,interaction,pmids
   135,C038193,4-hydroxybenzoic acid,LEP,3952,Homo sapiens,9606,4-hydroxybenzoic acid results in decreased expression of LEP mRNA,22956630
177,D000079,Acetaldehyde,LEP,3952,Mus musculus,10090,LEP protein affects the reaction [Acetaldehyde results in increased expression of ADIPOQ protein]|Acetaldehyde inhibits the reaction [LEP protein results in increased expression of ADIPOR2 protein],17949463
177,D000079,Acetaldehyde,LEP,3952,Mus musculus,10090,LEP protein affects the reaction [Acetaldehyde results in increased expression of COL1A2 mRNA]|LEP protein affects the reaction [Acetaldehyde results in increased expression of TGFB1 protein],15130784
187,D000109,Acetylcholine,LEP,3952,Gallus gallus,9031,LEP protein inhibits the reaction [Acetylcholine results in increased secretion of INS protein]|Tolbutamide inhibits the reaction [LEP protein inhibits the reaction [Acetylcholine results in increased secretion of INS protein]],12734786
264,D020148,Butyric Acid,LEP,3952,Mus musculus,10090,Butyric Acid inhibits the reaction [[Permethrin co-treated with Pyridostigmine Bromide co-treated with Corticosterone] results in increased secretion of LEP protein],29751049
305,D002794,Choline,LEP,3952,Mus musculus,10090,"[3,4,5,3',4'-pentachlorobiphenyl co-treated with Methionine deficiency co-treated with Choline deficiency] results in decreased expression of LEP protein|[Methionine deficiency co-treated with Choline deficiency] results in decreased expression of LEP protein",28973532
305,D002794,Choline,LEP,3952,Mus musculus,10090,PANX1 gene mutant form inhibits the reaction [[Dietary Fats co-treated with Choline deficiency] results in increased expression of LEP protein]|[Dietary Fats co-treated with Choline deficiency] results in increased expression of LEP protein,29246445
305,D002794,Choline,LEP,3952,Mus musculus,10090,[LEP gene mutant form co-treated with Methionine deficiency co-treated with Choline deficiency] results in increased expression of ABCC3 mRNA|LEP gene mutant form affects the reaction [[Methionine deficiency co-treated with Choline deficiency] results in increased activity of GPT protein]|[LEP gene mutant form co-treated with Methionine deficiency co-treated with Choline deficiency] results in increased expression of ABCC1 mRNA|[LEP gene mutant form co-treated with Methionine deficiency co-treated with Choline deficiency] results in increased expression of ABCC2 mRNA|[LEP gene mutant form co-treated with Methionine deficiency co-treated with Choline deficiency] results in decreased expression of SLCO1B2 mRNA|LEP gene mutant form affects the reaction [[Methionine deficiency co-treated with Choline deficiency] results in increased expression of ABCC4 mRNA],24384915
305,D002794,Choline,LEP,3952,Mus musculus,10090,[LEP gene mutant form results in increased susceptibility to [Methionine co-treated with Choline]] which results in decreased expression of CYP2D22 protein|[LEP gene mutant form results in increased susceptibility to [Methionine co-treated with Choline]] which results in decreased abundance of Glucose|[LEP gene mutant form results in increased susceptibility to [Methionine co-treated with Choline]] which results in decreased expression of CYP2C29 protein|LEP gene mutant form results in increased susceptibility to [Methionine co-treated with Choline]|[LEP gene mutant form results in increased susceptibility to [Methionine co-treated with Choline]] which results in decreased expression of CYP1A2 protein|[LEP gene mutant form results in increased susceptibility to [Methionine co-treated with Choline]] which results in decreased expression of CYP1A2 mRNA|[LEP gene mutant form results in increased susceptibility to [Methionine co-treated with Choline]] which results in decreased expression of CYP2C29 mRNA,27712037
544,C015001,arsenite,LEP,3952,Homo sapiens,9606,arsenite results in decreased methylation of LEP promoter,23974009
612,D019344,Lactic Acid,LEP,3952,Homo sapiens,9606,Lactic Acid affects the expression of LEP mRNA,30851411
702,D000431,Ethanol,LEP,3952,Mus musculus,10090,[Zinc deficiency co-treated with Ethanol] results in decreased expression of and results in decreased secretion of LEP protein,24155903
702,D000431,Ethanol,LEP,3952,Rattus norvegicus,10116,"[Carbon Tetrachloride co-treated with Ethanol] results in increased expression of LEP protein|Drugs, Chinese Herbal inhibits the reaction [[Carbon Tetrachloride co-treated with Ethanol] results in increased expression of LEP protein]",18227024
727,D001556,Hexachlorocyclohexane,LEP,3952,Rattus norvegicus,10116,Hexachlorocyclohexane affects the expression of LEP mRNA,17785943
750,D005998,Glycine,LEP,3952,Mus musculus,10090,Glycine affects the reaction [Sodium Glutamate affects the expression of LEP protein],18930730
784,D006861,Hydrogen Peroxide,LEP,3952,Homo sapiens,9606,Hydrogen Peroxide affects the expression of LEP mRNA,21179406
784,D006861,Hydrogen Peroxide,LEP,3952,Homo sapiens,9606,Hydrogen Peroxide results in decreased expression of LEP mRNA,26339600
784,D006861,Hydrogen Peroxide,LEP,3952,NULL,NULL,"LEP protein results in increased abundance of Hydrogen Peroxide|[1,2-linoleoylphosphatidylcholine co-treated with S-Adenosylmethionine] inhibits the reaction [LEP protein results in increased abundance of Hydrogen Peroxide]",16996477
807,D007455,Iodine,LEP,3952,Rattus norvegicus,10116,[Iodine deficiency co-treated with sodium perchlorate] results in increased secretion of LEP protein,30090431
