PubChem CID,Protein Target
135,LEP
544,LEP
612,LEP
784,LEP
896,LEP
935,LEP
938,LEP
977,LEP
991,LEP
1983,LEP
2162,LEP
2336,LEP
2361,LEP
2519,LEP
2541,LEP
2603,LEP
2730,LEP
2973,LEP
3035,LEP
3036,LEP
3101,LEP
3339,LEP
3343,LEP
3715,LEP
3758,LEP
3779,LEP
3973,LEP
4055,LEP
4095,LEP
4463,LEP
4553,LEP
4713,LEP
4946,LEP
5104,LEP
5591,LEP
5601,LEP
5727,LEP
5743,LEP
5757,LEP
5994,LEP
6076,LEP
6623,LEP
6626,LEP
6636,LEP
6758,LEP
7175,LEP
7180,LEP
7184,LEP
7456,LEP
8434,LEP
8515,LEP
10635,LEP
13676,LEP
16078,LEP
18283,LEP
23930,LEP
23994,LEP
24261,LEP
24288,LEP
24502,LEP
24947,LEP
25670,LEP
32014,LEP
34755,LEP
35370,LEP
36811,LEP
39042,LEP
39484,LEP
47936,LEP
60750,LEP
64139,LEP
64143,LEP
73665,LEP
73864,LEP
74483,LEP
77999,LEP
91699,LEP
92727,LEP
119461,LEP
145068,LEP
176155,LEP
186907,LEP
392622,LEP
443495,LEP
444732,LEP
444795,LEP
445154,LEP
445580,LEP
446284,LEP
449241,LEP
451668,LEP
518605,LEP
2777391,LEP
3086599,LEP
4302963,LEP
5280343,LEP
5280961,LEP
5281969,LEP
5282360,LEP
5283748,LEP
5311211,LEP
5328779,LEP
5352425,LEP
5359596,LEP
5359597,LEP
5362129,LEP
5362440,LEP
6326970,LEP
6440944,LEP
6509863,LEP
6610341,LEP
6858240,LEP
9869652,LEP
9949093,LEP
11238147,LEP
11597697,LEP
11970143,LEP
134687197,LEP
135398737,LEP
135398745,LEP
163320459,LEP
