cid,chemicalid,chemicalname,genesymbol,geneid,taxname,taxid,interaction,pmids
   178,C030686,acetamide,LPL,4023,Rattus norvegicus,10116,acetamide results in increased expression of LPL mRNA,31881176
187,D000109,Acetylcholine,LPL,4023,Homo sapiens,9606,LPL protein affects the susceptibility to Acetylcholine,11786490
241,D001554,Benzene,LPL,4023,Mus musculus,10090,Benzene results in increased expression of LPL mRNA,15120971|15122651
299,D007631,Chlordecone,LPL,4023,Mus musculus,10090,Chlordecone results in increased expression of LPL mRNA,33711761
305,D002794,Choline,LPL,4023,Mus musculus,10090,"[Methionine deficiency co-treated with Choline deficiency] results in decreased expression of LPL mRNA|pregna-4,17-diene-3,16-dione inhibits the reaction [alisol A 24-acetate inhibits the reaction [[Methionine deficiency co-treated with Choline deficiency] results in decreased expression of LPL mRNA]]|alisol A 24-acetate inhibits the reaction [[Methionine deficiency co-treated with Choline deficiency] results in decreased expression of LPL mRNA]|Chenodeoxycholic Acid inhibits the reaction [[Methionine deficiency co-treated with Choline deficiency] results in decreased expression of LPL mRNA]",27773935
305,D002794,Choline,LPL,4023,Mus musculus,10090,[Choline deficiency co-treated with Folic Acid deficiency co-treated with Methionine deficiency] results in increased expression of LPL mRNA,29127188
305,D002794,Choline,LPL,4023,Mus musculus,10090,[Choline deficiency co-treated with Methionine deficiency] results in increased expression of LPL mRNA|Methionine inhibits the reaction [[Choline deficiency co-treated with Methionine deficiency] results in increased expression of LPL mRNA]|Choline inhibits the reaction [[Choline deficiency co-treated with Methionine deficiency] results in increased expression of LPL mRNA],25178843
305,D002794,Choline,LPL,4023,Mus musculus,10090,PANX1 gene mutant form inhibits the reaction [[Dietary Fats co-treated with Choline deficiency] results in increased expression of LPL mRNA]|[Dietary Fats co-treated with Choline deficiency] results in increased expression of LPL mRNA,29246445
305,D002794,Choline,LPL,4023,Mus musculus,10090,[Methionine deficiency co-treated with Choline deficiency co-treated with Folic Acid deficiency] results in increased expression of LPL mRNA,20938992
544,C015001,arsenite,LPL,4023,Homo sapiens,9606,arsenite results in decreased expression of LPL mRNA,31646340
702,D000431,Ethanol,LPL,4023,Mus musculus,10090,Ethanol affects the splicing of LPL mRNA,30319688
702,D000431,Ethanol,LPL,4023,Mus musculus,10090,Ethanol results in decreased expression of LPL mRNA|Rosiglitazone inhibits the reaction [Ethanol results in decreased expression of LPL mRNA],22173916
702,D000431,Ethanol,LPL,4023,Mus musculus,10090,Ethanol results in increased expression of LPL mRNA,21955143
702,D000431,Ethanol,LPL,4023,Rattus norvegicus,10116,zingerone inhibits the reaction [Ethanol results in decreased activity of LPL protein]|Ethanol results in decreased activity of LPL protein,28442378
727,C040534,alpha-hexachlorocyclohexane,LPL,4023,Rattus norvegicus,10116,alpha-hexachlorocyclohexane results in increased expression of LPL mRNA,17785943
772,D006493,Heparin,LPL,4023,Rattus norvegicus,10116,[etofibrate co-treated with Heparin] results in increased secretion of LPL protein,3179329
784,D006861,Hydrogen Peroxide,LPL,4023,Homo sapiens,9606,Hydrogen Peroxide results in decreased expression of LPL mRNA,26339600
896,D008550,Melatonin,LPL,4023,Homo sapiens,9606,Melatonin results in decreased expression of LPL mRNA,20738756
935,D009532,Nickel,LPL,4023,Homo sapiens,9606,Nickel results in decreased expression of LPL mRNA,24768652|25583101
936,D009536,Niacinamide,LPL,4023,Rattus norvegicus,10116,[tetrahydrocurcumin co-treated with Chlorogenic Acid] results in decreased susceptibility to [[Streptozocin co-treated with Niacinamide] results in decreased activity of LPL protein]|tetrahydrocurcumin results in decreased susceptibility to [[Streptozocin co-treated with Niacinamide] results in decreased activity of LPL protein]|[Streptozocin co-treated with Niacinamide] results in decreased activity of LPL protein|Chlorogenic Acid results in decreased susceptibility to [[Streptozocin co-treated with Niacinamide] results in decreased activity of LPL protein],20696151
977,D010100,Oxygen,LPL,4023,Homo sapiens,9606,Oxygen deficiency results in increased expression of LPL mRNA,24236059
1046,D011718,Pyrazinamide,LPL,4023,Rattus norvegicus,10116,Pyrazinamide results in decreased expression of LPL mRNA|Fenofibrate inhibits the reaction [Pyrazinamide results in decreased expression of LPL mRNA],27071702
1483,C004554,"2,4,6-tribromophenol",LPL,4023,Homo sapiens,9606,"2,4,6-tribromophenol results in increased expression of LPL mRNA",31675489
1530,C049584,"2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine",LPL,4023,Rattus norvegicus,10116,"2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine results in decreased expression of LPL mRNA",12376462|15059925
1645,C025160,3-aminobenzamide,LPL,4023,Rattus norvegicus,10116,3-aminobenzamide results in increased expression of LPL mRNA,18815186
