PubChem CID,Protein Target
187,LPL
544,LPL
784,LPL
896,LPL
935,LPL
977,LPL
1483,LPL
2153,LPL
2286,LPL
2333,LPL
2336,LPL
2361,LPL
2513,LPL
2763,LPL
2796,LPL
3026,LPL
3036,LPL
3121,LPL
3339,LPL
3463,LPL
3715,LPL
3758,LPL
3973,LPL
4261,LPL
4463,LPL
4873,LPL
5311,LPL
5564,LPL
5591,LPL
5743,LPL
5754,LPL
5757,LPL
5957,LPL
5994,LPL
5997,LPL
6041,LPL
6410,LPL
6484,LPL
6549,LPL
6618,LPL
6623,LPL
6626,LPL
8289,LPL
8343,LPL
9064,LPL
10207,LPL
12111,LPL
14410,LPL
15625,LPL
16078,LPL
23954,LPL
23973,LPL
27924,LPL
31703,LPL
35370,LPL
36159,LPL
37035,LPL
37175,LPL
37248,LPL
39042,LPL
39385,LPL
54900,LPL
63090,LPL
64139,LPL
65094,LPL
72281,LPL
74483,LPL
77999,LPL
91699,LPL
104741,LPL
107722,LPL
117291,LPL
409301,LPL
441203,LPL
442530,LPL
443495,LPL
444732,LPL
444795,LPL
445154,LPL
446155,LPL
446378,LPL
447905,LPL
447912,LPL
449171,LPL
518605,LPL
2733526,LPL
2777391,LPL
3034010,LPL
3392731,LPL
3651377,LPL
4521392,LPL
5280795,LPL
5281647,LPL
5282796,LPL
5315263,LPL
5329102,LPL
5460048,LPL
9826528,LPL
11524144,LPL
46907787,LPL
57426056,LPL
