cid,chemicalid,chemicalname,genesymbol,geneid,taxname,taxid,interaction,pmids
   34,D005023,Ethylene Chlorohydrin,PPARGC1A,10891,Mus musculus,10090,[Ethylene Chlorohydrin co-treated with Lipopolysaccharides] results in increased expression of PPARGC1A mRNA|Sirolimus inhibits the reaction [[Ethylene Chlorohydrin co-treated with Lipopolysaccharides] results in increased expression of PPARGC1A mRNA],31499194
176,D019342,Acetic Acid,PPARGC1A,10891,Rattus norvegicus,10116,Mesalamine inhibits the reaction [Acetic Acid results in decreased expression of PPARGC1A mRNA]|Acetic Acid results in decreased expression of PPARGC1A mRNA|Linagliptin inhibits the reaction [Acetic Acid results in decreased expression of PPARGC1A mRNA],35122774
178,C030686,acetamide,PPARGC1A,10891,Rattus norvegicus,10116,acetamide results in increased expression of PPARGC1A mRNA,31881176
261,C018475,butyraldehyde,PPARGC1A,10891,Homo sapiens,9606,butyraldehyde results in decreased expression of PPARGC1A mRNA,26079696
263,D020001,1-Butanol,PPARGC1A,10891,Homo sapiens,9606,[[Gasoline co-treated with 1-Butanol] results in increased abundance of [Particulate Matter co-treated with Polycyclic Aromatic Hydrocarbons]] which results in decreased expression of PPARGC1A mRNA,29432896
281,D002248,Carbon Monoxide,PPARGC1A,10891,Mus musculus,10090,"Carbon Monoxide results in increased expression of PPARGC1A mRNA|Carbon Monoxide results in increased expression of PPARGC1A protein|1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one inhibits the reaction [Carbon Monoxide results in increased expression of PPARGC1A protein]|Carbon Monoxide promotes the reaction [NRF1 protein binds to PPARGC1A protein]|2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one inhibits the reaction [Carbon Monoxide promotes the reaction [NRF1 protein binds to PPARGC1A protein]]|2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one inhibits the reaction [Carbon Monoxide results in increased expression of PPARGC1A protein]",17179207
305,D002794,Choline,PPARGC1A,10891,Homo sapiens,9606,Choline results in increased expression of PPARGC1A mRNA,23056435
525,C030298,malic acid,PPARGC1A,10891,Homo sapiens,9606,malic acid results in increased expression of PPARGC1A mRNA,23056435
586,D003401,Creatine,PPARGC1A,10891,Homo sapiens,9606,Creatine results in increased expression of PPARGC1A mRNA,23056435
702,D000431,Ethanol,PPARGC1A,10891,Rattus norvegicus,10116,Hesperidin inhibits the reaction [Ethanol results in decreased expression of PPARGC1A protein]|Ethanol results in decreased expression of PPARGC1A protein,30368987
702,D000431,Ethanol,PPARGC1A,10891,Rattus norvegicus,10116,Ethanol results in increased acetylation of PPARGC1A protein|salvianolic acid B inhibits the reaction [Ethanol results in increased acetylation of PPARGC1A protein],24769256
702,D000431,Ethanol,PPARGC1A,10891,Rattus norvegicus,10116,Ethanol results in increased expression of PPARGC1A mRNA,16098508|18793633
702,D000431,Ethanol,PPARGC1A,10891,Rattus norvegicus,10116,Resveratrol inhibits the reaction [Ethanol results in increased expression of PPARGC1A mRNA]|naringin inhibits the reaction [Ethanol results in increased expression of PPARGC1A mRNA],18793633
702,D000431,Ethanol,PPARGC1A,10891,Mus musculus,10090,Berberine inhibits the reaction [Ethanol results in decreased expression of PPARGC1A mRNA],25455889
702,D000431,Ethanol,PPARGC1A,10891,Mus musculus,10090,Chlormethiazole affects the reaction [Ethanol results in decreased expression of PPARGC1A mRNA]|Chlormethiazole inhibits the reaction [Ethanol results in decreased acetylation of PPARGC1A protein]|Ethanol results in decreased acetylation of PPARGC1A protein,24892905
702,D000431,Ethanol,PPARGC1A,10891,Mus musculus,10090,Ethanol affects the localization of PPARGC1A protein|PPARGC1A protein promotes the reaction [Ethanol results in increased expression of CYP2B10 mRNA]|PPARD gene mutant form inhibits the reaction [Ethanol affects the localization of PPARGC1A protein],27765815
702,D000431,Ethanol,PPARGC1A,10891,Mus musculus,10090,Ethanol affects the splicing of PPARGC1A mRNA,30319688
702,D000431,Ethanol,PPARGC1A,10891,Mus musculus,10090,Ethanol promotes the reaction [Dietary Fats results in decreased expression of PPARGC1A protein],25549548
702,D000431,Ethanol,PPARGC1A,10891,Mus musculus,10090,Resveratrol inhibits the reaction [Ethanol results in decreased expression of PPARGC1A mRNA]|[Ethanol results in decreased activity of SIRT1 protein] which results in increased acetylation of PPARGC1A protein|Resveratrol inhibits the reaction [[Ethanol results in decreased activity of SIRT1 protein] which results in increased acetylation of PPARGC1A protein],18755807
702,D000431,Ethanol,PPARGC1A,10891,Mus musculus,10090,Ethanol results in decreased expression of PPARGC1A mRNA,18755807|20007851|24892905|25455889
702,D000431,Ethanol,PPARGC1A,10891,Mus musculus,10090,Ethanol results in decreased expression of PPARGC1A protein|tetrakis(N-methyl-4-pyridiniumyl)porphine manganese(III) complex inhibits the reaction [Ethanol results in decreased expression of PPARGC1A protein],28962519
702,D000431,Ethanol,PPARGC1A,10891,Mus musculus,10090,Rosiglitazone inhibits the reaction [Ethanol results in increased acetylation of PPARGC1A protein]|Rosiglitazone inhibits the reaction [Ethanol results in decreased expression of PPARGC1A mRNA]|Ethanol results in increased acetylation of PPARGC1A protein,20007851
727,D001556,Hexachlorocyclohexane,PPARGC1A,10891,Homo sapiens,9606,Hexachlorocyclohexane results in increased expression of PPARGC1A mRNA,23777605
768,D006856,Hydrogen Cyanide,PPARGC1A,10891,Mus musculus,10090,Hydrogen Cyanide results in increased expression of PPARGC1A mRNA,33914522
784,D006861,Hydrogen Peroxide,PPARGC1A,10891,Mus musculus,10090,Resveratrol inhibits the reaction [[Hydrogen Peroxide co-treated with Staurosporine] results in increased acetylation of PPARGC1A protein]|[Hydrogen Peroxide co-treated with Staurosporine] results in increased acetylation of PPARGC1A protein,23293585
784,D006861,Hydrogen Peroxide,PPARGC1A,10891,Rattus norvegicus,10116,Acetylcysteine inhibits the reaction [Hydrogen Peroxide results in decreased expression of PPARGC1A protein]|trilobatin inhibits the reaction [Hydrogen Peroxide results in decreased expression of PPARGC1A protein],30104959
784,D006861,Hydrogen Peroxide,PPARGC1A,10891,Rattus norvegicus,10116,Hydrogen Peroxide results in decreased expression of PPARGC1A mRNA,24349266
784,D006861,Hydrogen Peroxide,PPARGC1A,10891,Rattus norvegicus,10116,Hydrogen Peroxide results in decreased expression of PPARGC1A protein,24349266|30104959
864,D008063,Thioctic Acid,PPARGC1A,10891,Homo sapiens,9606,Thioctic Acid results in increased expression of PPARGC1A protein|[Acetylcarnitine co-treated with Thioctic Acid] results in increased expression of PPARGC1A protein,20414966
864,D008063,Thioctic Acid,PPARGC1A,10891,Mus musculus,10090,[Thioctic Acid co-treated with Silicon] results in increased expression of PPARGC1A protein,34252510
864,D008063,Thioctic Acid,PPARGC1A,10891,Rattus norvegicus,10116,Thioctic Acid inhibits the reaction [Dietary Fats results in decreased expression of PPARGC1A mRNA],22464149
867,C030290,malonic acid,PPARGC1A,10891,Homo sapiens,9606,malonic acid results in increased expression of PPARGC1A mRNA,23056435
880,D011765,Pyruvaldehyde,PPARGC1A,10891,Mus musculus,10090,[Limonene co-treated with Pyruvaldehyde] results in increased expression of PPARGC1A protein,28986142
