cid,chemicalid,chemicalname,genesymbol,geneid,taxname,taxid,interaction,pmids
   33,C004656,chloroacetaldehyde,PPARG,5468,Homo sapiens,9606,chloroacetaldehyde affects the activity of PPARG protein,25596134
176,D019342,Acetic Acid,PPARG,5468,Rattus norvegicus,10116,Gliclazide inhibits the reaction [Acetic Acid results in decreased expression of PPARG protein]|Acetic Acid results in decreased expression of PPARG protein,32045587
177,D000079,Acetaldehyde,PPARG,5468,Homo sapiens,9606,U 0126 inhibits the reaction [Acetaldehyde results in increased phosphorylation of and results in decreased activity of PPARG protein]|Acetaldehyde inhibits the reaction [Rosiglitazone results in increased activity of PPARG protein]|Acetaldehyde results in increased phosphorylation of and results in decreased activity of PPARG protein|[Acetaldehyde results in increased phosphorylation of and results in decreased activity of PPARG protein] which results in increased expression of COL1A1 protein|2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Acetaldehyde inhibits the reaction [Rosiglitazone results in increased activity of PPARG protein]]|Imatinib Mesylate inhibits the reaction [Acetaldehyde results in increased phosphorylation of and results in decreased activity of PPARG protein]|ABL1 protein promotes the reaction [Acetaldehyde results in increased phosphorylation of and results in decreased activity of PPARG protein]|PPARG protein promotes the reaction [Acetaldehyde results in increased expression of COL1A1 protein]|PPARG protein promotes the reaction [Acetaldehyde results in increased expression of COL1A1 mRNA]|U 0126 inhibits the reaction [Acetaldehyde inhibits the reaction [Rosiglitazone results in increased activity of PPARG protein]]|2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Acetaldehyde results in increased phosphorylation of and results in decreased activity of PPARG protein],17030193
241,D001554,Benzene,PPARG,5468,Homo sapiens,9606,Benzene results in increased expression of PPARG mRNA,19162166
264,D020148,Butyric Acid,PPARG,5468,Homo sapiens,9606,Butyric Acid inhibits the reaction [[Permethrin co-treated with Pyridostigmine Bromide co-treated with Corticosterone] results in decreased expression of PPARG mRNA]|[Butyric Acid co-treated with Lipopolysaccharides] results in increased expression of PPARG mRNA,29751049
264,D020148,Butyric Acid,PPARG,5468,Homo sapiens,9606,Butyric Acid results in increased expression of PPARG mRNA|Butyric Acid results in increased expression of PPARG protein,10833422
281,D002248,Carbon Monoxide,PPARG,5468,Mus musculus,10090,Acetylcysteine inhibits the reaction [[Carbon Monoxide results in increased abundance of Reactive Oxygen Species] which results in increased sumoylation of PPARG protein]|PPARG protein promotes the reaction [Carbon Monoxide inhibits the reaction [Lipopolysaccharides results in increased expression of NOS2 mRNA]]|[Carbon Monoxide results in increased abundance of Reactive Oxygen Species] which results in increased sumoylation of PPARG protein,22046279
299,D007631,Chlordecone,PPARG,5468,Danio rerio,7955,Chlordecone binds to and results in increased activity of PPARG protein,33049310
305,D002794,Choline,PPARG,5468,Mus musculus,10090,"3,4,5,3',4'-pentachlorobiphenyl promotes the reaction [[Methionine deficiency co-treated with Choline deficiency] results in decreased expression of PPARG mRNA]|[Methionine deficiency co-treated with Choline deficiency] results in decreased expression of PPARG mRNA",28973532
305,D002794,Choline,PPARG,5468,Mus musculus,10090,[Dietary Fats co-treated with Choline deficiency co-treated with Methionine deficiency] results in decreased expression of PPARG mRNA|Rosiglitazone inhibits the reaction [[Dietary Fats co-treated with Choline deficiency co-treated with Methionine deficiency] results in decreased expression of PPARG protein]|Rosiglitazone inhibits the reaction [[Dietary Fats co-treated with Choline deficiency co-treated with Methionine deficiency] results in decreased expression of PPARG mRNA]|[Dietary Fats co-treated with Choline deficiency co-treated with Methionine deficiency] results in decreased expression of PPARG protein,18991162
335,C034047,2-cresol,PPARG,5468,Rattus norvegicus,10116,Sodium Selenite inhibits the reaction [2-cresol results in increased expression of PPARG mRNA]|2-cresol results in increased expression of PPARG mRNA,21705299
338,D020156,Salicylic Acid,PPARG,5468,Rattus norvegicus,10116,Salicylic Acid inhibits the reaction [Palmitic Acid results in decreased expression of PPARG mRNA],25108154
370,D005707,Gallic Acid,PPARG,5468,Mus musculus,10090,Gallic Acid results in increased expression of PPARG protein,24036142
370,D005707,Gallic Acid,PPARG,5468,Rattus norvegicus,10116,Gallic Acid results in increased activity of PPARG protein,24433871
379,C031492,octanoic acid,PPARG,5468,Mus musculus,10090,[SB 203580 results in decreased activity of MAPK14 protein] inhibits the reaction [[octanoic acid co-treated with Dexamethasone] results in increased expression of PPARG protein alternative form]|[octanoic acid co-treated with Dexamethasone] results in increased expression of PPARG protein alternative form,14984747
460,D011429,Propolis,PPARG,5468,Homo sapiens,9606,Propolis results in decreased expression of PPARG mRNA,20706672
544,C015001,arsenite,PPARG,5468,Mus musculus,10090,arsenite results in increased expression of PPARG mRNA,15868481
679,D004121,Dimethyl Sulfoxide,PPARG,5468,Homo sapiens,9606,Dimethyl Sulfoxide results in decreased expression of PPARG mRNA,21878375
702,D000431,Ethanol,PPARG,5468,Homo sapiens,9606,Ethanol inhibits the reaction [Rosiglitazone results in increased activity of PPARG protein]|Fomepizole inhibits the reaction [Ethanol inhibits the reaction [Rosiglitazone results in increased activity of PPARG protein]]|Ethanol inhibits the reaction [Pioglitazone results in increased activity of PPARG protein]|Cyanamide inhibits the reaction [Ethanol inhibits the reaction [Rosiglitazone results in increased activity of PPARG protein]]|Ethanol inhibits the reaction [9-deoxy-delta-9-prostaglandin D2 results in increased activity of PPARG protein],17030193
702,D000431,Ethanol,PPARG,5468,Homo sapiens,9606,PPARG protein affects the reaction [NFATC4 protein affects the reaction [Ethanol results in increased expression of IL6 protein]]|Ethanol results in decreased expression of PPARG mRNA|NFATC4 protein affects the reaction [Ethanol results in decreased expression of PPARG protein]|Ethanol results in decreased expression of PPARG protein|PPARG protein affects the reaction [NFATC4 protein affects the reaction [Ethanol results in increased expression of IL1A protein]]|NFATC4 protein affects the reaction [Ethanol results in decreased expression of PPARG mRNA],34192554
702,D000431,Ethanol,PPARG,5468,Homo sapiens,9606,Ethanol results in decreased expression of PPARG protein,28062356|34192554
702,D000431,Ethanol,PPARG,5468,Homo sapiens,9606,Ethanol results in increased expression of PPARG mRNA|PER1 protein promotes the reaction [Ethanol results in increased expression of PPARG mRNA]|PER1 gene mutant form inhibits the reaction [Ethanol results in increased expression of PPARG mRNA],24144995
702,D000431,Ethanol,PPARG,5468,Mus musculus,10090,acanthoic acid inhibits the reaction [Ethanol results in increased expression of PPARG protein],28964808
702,D000431,Ethanol,PPARG,5468,Mus musculus,10090,[ADORA1 gene mutant form results in increased susceptibility to Ethanol] which results in increased expression of PPARG mRNA,23692951
702,D000431,Ethanol,PPARG,5468,Mus musculus,10090,Ethanol affects the expression of PPARG mRNA,19167417
702,D000431,Ethanol,PPARG,5468,Mus musculus,10090,[Ethanol co-treated with Carbon Tetrachloride co-treated with 4-O-methylhonokiol] results in decreased expression of PPARG mRNA,28689299
702,D000431,Ethanol,PPARG,5468,Mus musculus,10090,[Ethanol co-treated with Diethylhexyl Phthalate] results in increased expression of PPARG mRNA,32325186
702,D000431,Ethanol,PPARG,5468,Mus musculus,10090,Ethanol inhibits the reaction [[INS protein co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone] results in increased expression of PPARG mRNA],32171850
702,D000431,Ethanol,PPARG,5468,Mus musculus,10090,Rosiglitazone inhibits the reaction [Ethanol results in decreased expression of PPARG mRNA]|Ethanol results in decreased expression of PPARG mRNA,22173916
702,D000431,Ethanol,PPARG,5468,Mus musculus,10090,Ethanol results in increased expression of PPARG mRNA,18620774|18755807|20007851|24144995
702,D000431,Ethanol,PPARG,5468,Mus musculus,10090,Ethanol results in increased expression of PPARG protein,20007851|28964808|34116071
702,D000431,Ethanol,PPARG,5468,Mus musculus,10090,NFE2L2 gene mutant form inhibits the reaction [Ethanol results in increased expression of PPARG protein],34116071
702,D000431,Ethanol,PPARG,5468,Mus musculus,10090,Resveratrol inhibits the reaction [Ethanol results in increased expression of PPARG mRNA],18755807
702,D000431,Ethanol,PPARG,5468,Mus musculus,10090,[Rosiglitazone co-treated with Ethanol] results in increased expression of PPARG mRNA,20007851
702,D000431,Ethanol,PPARG,5468,Rattus norvegicus,10116,Pioglitazone inhibits the reaction [[Ethanol co-treated with Lipopolysaccharides] results in decreased expression of PPARG mRNA]|[Ethanol co-treated with Lipopolysaccharides] results in decreased expression of PPARG mRNA,15318101
702,D000431,Ethanol,PPARG,5468,Rattus norvegicus,10116,Ethanol inhibits the reaction [[Oleic Acid co-treated with Palmitic Acid] results in increased expression of PPARG mRNA]|[Oleic Acid co-treated with Palmitic Acid] inhibits the reaction [Ethanol results in increased expression of PPARG mRNA],26854922
702,D000431,Ethanol,PPARG,5468,Rattus norvegicus,10116,SB 203580 inhibits the reaction [Ethanol results in decreased expression of PPARG protein]|Ethanol results in decreased expression of PPARG protein|[Ethanol results in decreased expression of PPARG protein] which results in decreased expression of ADIPOQ protein|Ethanol results in decreased expression of PPARG mRNA,24412557
702,D000431,Ethanol,PPARG,5468,Rattus norvegicus,10116,Ethanol results in increased expression of PPARG mRNA,18793633|26220516|26854922
702,D000431,Ethanol,PPARG,5468,Rattus norvegicus,10116,Resveratrol inhibits the reaction [Ethanol results in increased expression of PPARG mRNA],18793633
750,D005998,Glycine,PPARG,5468,Mus musculus,10090,Glycine results in increased expression of PPARG mRNA,18930730
753,D005990,Glycerol,PPARG,5468,Rattus norvegicus,10116,ciglitazone inhibits the reaction [Glycerol results in decreased expression of PPARG protein]|Glycerol results in decreased expression of PPARG protein,16820301
784,D006861,Hydrogen Peroxide,PPARG,5468,Bos taurus,9913,Hydrogen Peroxide inhibits the reaction [Rosiglitazone results in increased activity of PPARG protein]|[Rosiglitazone co-treated with Hydrogen Peroxide] results in increased expression of PPARG protein,17622750
784,D006861,Hydrogen Peroxide,PPARG,5468,Homo sapiens,9606,PPARG protein promotes the reaction [bergenin inhibits the reaction [Hydrogen Peroxide results in decreased activity of CAT protein]]|bergenin inhibits the reaction [Hydrogen Peroxide results in decreased expression of PPARG protein],34499403
