PubChem CID,Protein Target
33,PPARG
177,PPARG
241,PPARG
264,PPARG
460,PPARG
679,PPARG
702,PPARG
784,PPARG
896,PPARG
935,PPARG
938,PPARG
977,PPARG
985,PPARG
996,PPARG
1017,PPARG
1123,PPARG
1483,PPARG
1983,PPARG
2051,PPARG
2153,PPARG
2157,PPARG
2244,PPARG
2256,PPARG
2266,PPARG
2268,PPARG
2286,PPARG
2336,PPARG
2347,PPARG
2353,PPARG
2374,PPARG
2375,PPARG
2396,PPARG
2513,PPARG
2526,PPARG
2554,PPARG
2662,PPARG
2730,PPARG
2750,PPARG
2754,PPARG
2787,PPARG
2796,PPARG
2797,PPARG
2871,PPARG
2969,PPARG
3017,PPARG
3026,PPARG
3033,PPARG
3035,PPARG
3036,PPARG
3117,PPARG
3121,PPARG
3220,PPARG
3314,PPARG
3339,PPARG
3342,PPARG
3346,PPARG
3371,PPARG
3385,PPARG
3397,PPARG
3406,PPARG
3444,PPARG
3463,PPARG
3672,PPARG
3690,PPARG
3715,PPARG
3730,PPARG
3758,PPARG
3767,PPARG
3806,PPARG
3899,PPARG
3922,PPARG
4008,PPARG
4075,PPARG
4091,PPARG
4130,PPARG
4169,PPARG
4463,PPARG
4488,PPARG
4493,PPARG
4495,PPARG
4553,PPARG
4614,PPARG
4632,PPARG
4705,PPARG
4713,PPARG
4763,PPARG
4829,PPARG
4871,PPARG
4888,PPARG
4933,PPARG
5053,PPARG
5152,PPARG
5202,PPARG
5291,PPARG
5350,PPARG
5394,PPARG
5437,PPARG
5564,PPARG
5569,PPARG
5570,PPARG
5591,PPARG
5694,PPARG
5743,PPARG
5754,PPARG
5757,PPARG
5803,PPARG
5920,PPARG
5957,PPARG
5997,PPARG
6001,PPARG
6013,PPARG
6410,PPARG
6484,PPARG
6529,PPARG
6540,PPARG
6544,PPARG
6562,PPARG
6618,PPARG
6619,PPARG
6623,PPARG
6625,PPARG
6626,PPARG
6654,PPARG
6720,PPARG
6758,PPARG
6781,PPARG
6782,PPARG
6786,PPARG
6787,PPARG
6788,PPARG
6867,PPARG
6914,PPARG
6986,PPARG
7047,PPARG
7074,PPARG
7099,PPARG
7103,PPARG
7108,PPARG
7175,PPARG
7184,PPARG
7271,PPARG
7410,PPARG
7456,PPARG
7540,PPARG
7636,PPARG
7725,PPARG
7814,PPARG
7847,PPARG
8139,PPARG
8289,PPARG
8295,PPARG
8343,PPARG
8413,PPARG
8425,PPARG
8437,PPARG
8554,PPARG
8559,PPARG
8560,PPARG
8561,PPARG
8569,PPARG
8575,PPARG
8722,PPARG
8842,PPARG
8858,PPARG
9154,PPARG
9502,PPARG
9554,PPARG
9555,PPARG
9638,PPARG
