Kingdom,Family,Species,Reference,Compounds,Indonesia available?
Plantae,Apiaceae,Daucus carota,Ref.,Bornyl acetate,Yes
Plantae,Labiatae,Rosmarinus officinalis,Ref.,Bornyl acetate,
Plantae,Labiatae,Thymus vulgaris,Ref.,Bornyl acetate,Yes
Plantae,Pinaceae,Abies alba,Ref.,Bornyl acetate,
Plantae,Pinaceae,Abies sibirica,Ref.,Bornyl acetate,
Plantae,Pinaceae,Pinus montana,Ref.,Bornyl acetate,
Plantae,Pinaceae,Pinus sylvestris,Ref.,Bornyl acetate,
Plantae,Pinaceae,Pseudotsuga menziesii,Ref.,Bornyl acetate,
Plantae,Valerianaceae/Linnaeaceae/Dipsacaceae/Diervillaceae,Valeriana officinalis,Ref.,Bornyl acetate,Yes
Fungi,Ganodermataceae,Ganoderma lucidum,Ref.,Heptan-2-one,Yes
Plantae,Alliaceae,Allium cepa,Ref.,Heptan-2-one,Yes
Plantae,Anacardiaceae,Mangifera indica,Ref.,Heptan-2-one,Yes
Plantae,Annonaceae,Annona glabra,Ref.,Heptan-2-one,
Plantae,Apiaceae,Foeniculum vulgare,Ref.,Heptan-2-one,Yes
Plantae,Araceae,Arum maculatum,Ref.,Heptan-2-one,
Plantae,Caricaceae,Carica papaya,Ref.,Heptan-2-one,Yes
Plantae,Ceratophyllaceae,Ceratophyllum demersum,Ref.,Heptan-2-one,
Plantae,Clusiaceae/Clusiaceae-Guttiferae,Garcinia dulcis,Ref.,Heptan-2-one,Yes
Plantae,Crassulaceae,Rhodiola rosea,Ref.,Heptan-2-one,
Plantae,Laminariaceae,Laminaria japonica,Ref.,Heptan-2-one,
Plantae,Myrtaceae,Psidium guajava,Ref.,Heptan-2-one,Yes
Plantae,Myrtaceae,Syzygium aromaticum,Ref.,Heptan-2-one,Yes
Plantae,Orchidaceae,Ophrys spp.,Ref.,Heptan-2-one,
Plantae,Oxalidaceae,Averrhoa carambola,Ref.,Heptan-2-one,Yes
Plantae,Rubiaceae,Coffea arabica,Ref.,Heptan-2-one,Yes
Plantae,Rutaceae,Ruta graveolens,Ref.,Heptan-2-one,
Plantae,Solanaceae,Mandragora autumnalis,Ref.,Heptan-2-one,
Plantae,Solanaceae,Solanum lycopersicum,Ref.,Heptan-2-one,Yes
Plantae,Cucurbitaceae,Cucurbita pepo,Ref.,Propionic acid,
Plantae,Cucurbitaceae,Cucurbita sp.,Ref.,Propionic acid,
Plantae,Fabaceae,Pisum sativum,Ref.,Propionic acid,
Animalia,Acaridae,Tyrophagus similis,Ref.,Piperitone,
Animalia,Hominidae,Homo sapiens (Urine),Ref.,Piperitone,
Fungi,Ganodermataceae,Ganoderma lucidum,Ref.,Piperitone,Yes
Plantae,Anacardiaceae,Mangifera indica,Ref.,Piperitone,Yes
Plantae,Annonaceae,Annona glabra,Ref.,Piperitone,
Plantae,Apiaceae,Foeniculum vulgare,Ref.,Piperitone,Yes
Plantae,Asteraceae,Ajania fruticulosa,Ref.,Piperitone,
Plantae,Asteraceae,Chamaemelum nobile,Ref.,Piperitone,
Plantae,Asteraceae,Dittrichia graveolens,Ref.,Piperitone,
Plantae,Geraniaceae,Pelargonium graveolens,Ref.,Piperitone,
