Kingdom,Family,Species,Reference,Compounds,Indonesia available?
Plantae,Apiaceae,Daucus carota,Ref.,Bornyl acetate,Yes
Plantae,Labiatae,Thymus vulgaris,Ref.,Bornyl acetate,Yes
Plantae,Valerianaceae/Linnaeaceae/Dipsacaceae/Diervillaceae,Valeriana officinalis,Ref.,Bornyl acetate,Yes
Fungi,Ganodermataceae,Ganoderma lucidum,Ref.,Heptan-2-one,Yes
Plantae,Alliaceae,Allium cepa,Ref.,Heptan-2-one,Yes
Plantae,Anacardiaceae,Mangifera indica,Ref.,Heptan-2-one,Yes
Plantae,Apiaceae,Foeniculum vulgare,Ref.,Heptan-2-one,Yes
Plantae,Caricaceae,Carica papaya,Ref.,Heptan-2-one,Yes
Plantae,Clusiaceae/Clusiaceae-Guttiferae,Garcinia dulcis,Ref.,Heptan-2-one,Yes
Plantae,Myrtaceae,Psidium guajava,Ref.,Heptan-2-one,Yes
Plantae,Myrtaceae,Syzygium aromaticum,Ref.,Heptan-2-one,Yes
Plantae,Oxalidaceae,Averrhoa carambola,Ref.,Heptan-2-one,Yes
Plantae,Rubiaceae,Coffea arabica,Ref.,Heptan-2-one,Yes
Plantae,Solanaceae,Solanum lycopersicum,Ref.,Heptan-2-one,Yes
Fungi,Ganodermataceae,Ganoderma lucidum,Ref.,Piperitone,Yes
Plantae,Anacardiaceae,Mangifera indica,Ref.,Piperitone,Yes
Plantae,Apiaceae,Foeniculum vulgare,Ref.,Piperitone,Yes
Plantae,Labiatae,Ocimum basilicum,Ref.,Piperitone,Yes
Plantae,Anacardiaceae,Mangifera indica,Ref.,P-cymene,Yes
Plantae,Apiaceae,Apium graveolens,Ref.,P-cymene,Yes
Plantae,Apiaceae,Cuminum cyminum,Ref.,P-cymene,Yes
Plantae,Apiaceae,Cuminum cyminum L.,Ref.,P-cymene,Yes
Plantae,Apiaceae,Daucus carota,Ref.,P-cymene,Yes
Plantae,Apiaceae,Foeniculum vulgare,Ref.,P-cymene,Yes
Plantae,Asteraceae,Helianthus annuus,Ref.,P-cymene,Yes
Plantae,Caricaceae,Carica papaya,Ref.,P-cymene,Yes
Plantae,Clusiaceae/Clusiaceae-Guttiferae,Garcinia dulcis,Ref.,P-cymene,Yes
Plantae,Cyperaceae,Cyperus rotundus L.,Ref.,P-cymene,Yes
Plantae,Labiatae,Mentha arvensis L.,Ref.,P-cymene,Yes
Plantae,Labiatae,Mentha piperita L.,Ref.,P-cymene,Yes
Plantae,Labiatae,Ocimum basilicum,Ref.,P-cymene,Yes
Plantae,Labiatae,Thymus vulgaris,Ref.,P-cymene,Yes
Plantae,Lamiaceae,Coleus aromaticus,Ref.,P-cymene,Yes
Plantae,Lauraceae,Cinnamomum camphora,Ref.,P-cymene,Yes
Plantae,Lauraceae,Litsea cubeba,Ref.,P-cymene,Yes
Plantae,Lythraceae,Punica granatum,Ref.,P-cymene,Yes
Plantae,Meliaceae,Azadirachta indica,Ref.,P-cymene,Yes
Plantae,Meliaceae,Melia azadirach,Ref.,P-cymene,Yes
Plantae,Moringaceae,Moringa oleifera,Ref.,P-cymene,Yes
Plantae,Myrtaceae,Eucalyptus globulus,Ref.,P-cymene,Yes
Plantae,Myrtaceae,Melaleuca leucadendra L.,Ref.,P-cymene,Yes
Plantae,Myrtaceae,Psidium guajava,Ref.,P-cymene,Yes
Plantae,Piperaceae,Piper nigrum,Ref.,P-cymene,Yes
Plantae,Poaceae,Cymbopogon citratus,Ref.,P-cymene,Yes
Plantae,Ranunculaceae,Nigella sativa L,Ref.,P-cymene,Yes
Plantae,Rutaceae,Aegle marmelos,Ref.,P-cymene,Yes
Plantae,Rutaceae,Citrus aurantifolia,Ref.,P-cymene,Yes
Plantae,Rutaceae,Citrus aurantium,Ref.,P-cymene,Yes
Plantae,Rutaceae,Citrus hystrix,Ref.,P-cymene,Yes
Plantae,Rutaceae,Clausena excavata,Ref.,P-cymene,Yes
Plantae,Solanaceae,Nicotiana tabacum,Ref.,P-cymene,Yes
Plantae,Solanaceae,Solanum lycopersicum,Ref.,P-cymene,Yes
Plantae,Theaceae,Camellia sinensis,Ref.,P-cymene,Yes
Plantae,Verbenaceae,Lantana camara,Ref.,P-cymene,Yes
Plantae,Zingiberaceae,Curcuma amada,Ref.,P-cymene,Yes
Plantae,Zingiberaceae,Curcuma longa,Ref.,P-cymene,Yes
Plantae,Zingiberaceae,Curcuma mangga,Ref.,P-cymene,Yes
Plantae,Zingiberaceae,Curcuma xanthorrhiza,Ref.,P-cymene,Yes
Plantae,Zingiberaceae,Zingiber officinale,Ref.,P-cymene,Yes
-,-,Baeckea frutescens,Ref.,P-cymene,Yes
Plantae,Acoraceae,Acorus calamus,Ref.,A-selinene,Yes
Plantae,Anacardiaceae,Mangifera indica,Ref.,A-selinene,Yes
Plantae,Apiaceae,Apium graveolens,Ref.,A-selinene,Yes
Plantae,Apiaceae,Daucus carota,Ref.,A-selinene,Yes
Plantae,Cyperaceae,Cyperus rotundus,Ref.,A-selinene,Yes
Plantae,Labiatae,Ocimum basilicum,Ref.,A-selinene,Yes
Plantae,Lauraceae,Cinnamomum camphora,Ref.,A-selinene,Yes
