Compounds,Species,Count
Cycloeucalenol,"['Abelmoschus manihot', 'Acanthus ilicifolius', 'Allium ascalonicum', 'Allium cepa', 'Annona muricata', 'Camellia sinensis', 'Capsicum annuum', 'Carthamus tinctorius', 'Casuarina equisetifolia', 'Clitoria ternatea', 'Crocus sativus', 'Cucumis sativus', 'Curcuma mangga', 'Cymbopogon citratus', 'Etlingera elatior', 'Foeniculum vulgare', 'Ginkgo biloba', 'Glycine max', 'Glycyrrhiza glabra L.', 'Gossypium herbaceum', 'Hibiscus mutabilis', 'Lactuca indica', 'Mangifera indica', 'Momordica charantia', 'Moringa oleifera', 'Morus alba', 'Musa acuminata', 'Nelumbo nucifera', 'Nicotiana tabacum', 'Ocimum basilicum', 'Oryza sativa', 'Pedilanthus tithymaloides', 'Phaseolus vulgaris', 'Phyllanthus acidus', 'Phyllanthus emblica', 'Phyllanthus niruri', 'Psidium guajava', 'Punica granatum', 'Ricinus communis', 'Solanum lycopersicum', 'Solanum tuberosum L.', 'Zinnia elegans']",42
Isoquercetin,"['Abelmoschus manihot', 'Acanthus ilicifolius', 'Allium ascalonicum', 'Allium cepa', 'Annona muricata', 'Camellia sinensis', 'Capsicum annuum', 'Carthamus tinctorius', 'Casuarina equisetifolia', 'Clitoria ternatea', 'Crocus sativus', 'Cucumis sativus', 'Curcuma mangga', 'Cymbopogon citratus', 'Etlingera elatior', 'Foeniculum vulgare', 'Ginkgo biloba', 'Glycine max', 'Glycyrrhiza glabra L.', 'Gossypium herbaceum', 'Hibiscus mutabilis', 'Lactuca indica', 'Mangifera indica', 'Momordica charantia', 'Moringa oleifera', 'Morus alba', 'Musa acuminata', 'Nelumbo nucifera', 'Nicotiana tabacum', 'Ocimum basilicum', 'Oryza sativa', 'Pedilanthus tithymaloides', 'Phaseolus vulgaris', 'Phyllanthus acidus', 'Phyllanthus emblica', 'Phyllanthus niruri', 'Psidium guajava', 'Punica granatum', 'Ricinus communis', 'Solanum lycopersicum', 'Solanum tuberosum L.', 'Zinnia elegans']",42
P-cymene,"['Aegle marmelos', 'Apium graveolens', 'Azadirachta indica', 'Baeckea frutescens', 'Camellia sinensis', 'Carica papaya', 'Cinnamomum camphora', 'Citrus aurantifolia', 'Citrus aurantium', 'Citrus hystrix', 'Clausena excavata', 'Coleus aromaticus', 'Cuminum cyminum', 'Cuminum cyminum L.', 'Curcuma amada', 'Curcuma longa', 'Curcuma mangga', 'Curcuma xanthorrhiza', 'Cymbopogon citratus', 'Cyperus rotundus L.', 'Daucus carota', 'Eucalyptus globulus', 'Foeniculum vulgare', 'Garcinia dulcis', 'Helianthus annuus', 'Lantana camara', 'Litsea cubeba', 'Mangifera indica', 'Melaleuca leucadendra L.', 'Melia azadirach', 'Mentha arvensis L.', 'Mentha piperita L.', 'Moringa oleifera', 'Nicotiana tabacum', 'Nigella sativa L', 'Ocimum basilicum', 'Piper nigrum', 'Psidium guajava', 'Punica granatum', 'Solanum lycopersicum', 'Thymus vulgaris', 'Zingiber officinale']",42
Myrcene,"['Anacardium occidentale', 'Annona squamosa', 'Apium graveolens', 'Averrhoa carambola', 'Baeckea frutescens L.', 'Camellia sinensis', 'Cananga odorata', 'Carica papaya', 'Cinnamomum camphora', 'Citrus aurantifolia', 'Citrus aurantium', 'Citrus hystrix', 'Citrus medica', 'Clausena excavata', 'Coffea arabica', 'Coleus aromaticus', 'Curcuma aeruginosa', 'Curcuma amada', 'Curcuma longa', 'Curcuma mangga', 'Curcuma xanthorrhiza', 'Cymbopogon citratus', 'Cyperus rotundus L.', 'Daucus carota', 'Foeniculum vulgare', 'Helianthus annuus', 'Litsea cubeba', 'Mangifera indica', 'Melaleuca leucadendra L.', 'Murraya paniculata', 'Nigella sativa L', 'Ocimum basilicum', 'Piper nigrum', 'Psidium guajava', 'Punica granatum', 'Solanum lycopersicum', 'Solanum tuberosum', 'Thymus vulgaris', 'Valeriana officinalis', 'Zingiber officinale']",40
P-coumaric acid,"['Acorus calamus', 'Allium sativum', 'Aloe vera', 'Ananas comosus', 'Annona muricata', 'Apium graveolens', 'Bryophyllum pinnatum', 'Capsicum annuum', 'Carica papaya', 'Cocos nucifera', 'Crocus sativus', 'Cucumis sativus', 'Curcuma domestica', 'Curcuma longa', 'Curcuma mangga', 'Cymbopogon citratus', 'Cyperus rotundus L.', 'Daucus carota', 'Foeniculum vulgare', 'Ginkgo biloba', 'Glycine max', 'Lawsonia inermis', 'Mangifera indica', 'Momordica charantia', 'Moringa oleifera', 'Morus alba', 'Nicotiana tabacum', 'Ocimum basilicum', 'Ocimum sanctum', 'Oryza sativa', 'Phaseolus vulgaris', 'Plantago major', 'Psidium guajava', 'Punica granatum', 'Raphanus sativus', 'Solanum lycopersicum', 'Solanum tuberosum', 'Thymus vulgaris', 'Zea mays']",39
"1,8-cineole","['Aegle marmelos', 'Allium sativum', 'Alpinia officinarum', 'Baeckea frutescens L.', 'Cananga odorata', 'Carica papaya', 'Cinnamomum camphora', 'Citrus aurantifolia', 'Cuminum cyminum L.', 'Curcuma aeruginosa', 'Curcuma amada', 'Curcuma longa', 'Curcuma mangga', 'Curcuma xanthorrhiza', 'Curcuma zedoaria', 'Cymbopogon citratus', 'Cyperus rotundus L.', 'Eucalyptus globulus', 'Foeniculum vulgare', 'Ganoderma lucidum', 'Ginkgo biloba', 'Hedychium coronarium', 'Helianthus annuus', 'Mangifera indica', 'Melaleuca leucadendra', 'Melaleuca leucadendron', 'Mentha arvensis L.', 'Mentha piperita L.', 'Morus alba', 'Murraya paniculata', 'Ocimum basilicum', 'Piper nigrum', 'Psidium guajava', 'Thymus vulgaris', 'Valeriana officinalis', 'Vitex trifolia', 'Zingiber officinale']",37
Terpinolene,"['Allium sativum', 'Annona squamosa', 'Apium graveolens', 'Baeckea frutescens L.', 'Camellia sinensis', 'Cananga odorata', 'Carica papaya', 'Cinnamomum camphora', 'Citrus', 'Citrus aurantifolia', 'Citrus aurantium', 'Citrus hystrix', 'Clausena excavata', 'Curcuma longa', 'Curcuma mangga', 'Curcuma xanthorrhiza', 'Cyperus rotundus L.', 'Daucus carota', 'Foeniculum vulgare', 'Garcinia dulcis', 'Helianthus annuus', 'Juniperus', 'Mangifera indica', 'Melia azadirach', 'Mentha', 'Mentha arvensis L.', 'Mentha piperita L.', 'Murraya paniculata', 'Ocimum basilicum', 'Piper nigrum', 'Psidium guajava', 'Punica granatum', 'Solanum lycopersicum', 'Thymus vulgaris', 'Valeriana officinalis']",35
A-humulene,"['Acorus calamus', 'Annona squamosa', 'Apium graveolens', 'Azadirachta indica', 'Cananga odorata', 'Carica papaya', 'Centella asiatica', 'Cinnamomum camphora', 'Citrus aurantifolia', 'Citrus aurantium', 'Clausena excavata', 'Curcuma aeruginosa', 'Curcuma longa', 'Curcuma mangga', 'Curcuma zedoaria', 'Cyperus rotundus L.', 'Daucus carota', 'Foeniculum vulgare', 'Helianthus annuus', 'Litsea cubeba', 'Mangifera indica', 'Murraya paniculata', 'Ocimum basilicum', 'Ocimum gratissimum', 'Piper nigrum', 'Polyalthia cerasoides', 'Psidium guajava', 'Solanum lycopersicum', 'Solanum tuberosum', 'Syzygium aromaticum', 'Thymus vulgaris', 'Valeriana officinalis', 'Zingiber officinale', 'Zingiber zerumbet Smith']",34
Caryophyllene oxide,"['Abutilon indicum', 'Acorus calamus', 'Apium graveolens', 'Artemisia vulgaris', 'Baeckea frutescens L.', 'Caesalpinia pulcherrima', 'Camellia sinensis', 'Cinnamomum camphora', 'Citrus aurantifolia', 'Clausena excavata', 'Curcuma aeruginosa', 'Curcuma amada', 'Curcuma longa', 'Curcuma mangga', 'Curcuma xanthorrhiza', 'Cymbopogon citratus', 'Daucus carota', 'Eugenia caryophyllata', 'Foeniculum vulgare', 'Helianthus annuus', 'Mangifera indica', 'Melaleuca leucadendra L.', 'Mentha arvensis L.', 'Mentha piperita', 'Murraya paniculata', 'Ocimum basilicum', 'Piper nigrum', 'Psidium guajava', 'Solanum lycopersicum', 'Thymus vulgaris', 'Valeriana officinalis', 'Zingiber cassumunar Roxb.', 'Zingiber officinale', 'Zingiber zerumbet Smith']",34
A-terpinene,"['Apium graveolens', 'Azadirachta indica', 'Baeckea frutescens L.', 'Camellia sinensis', 'Carica papaya', 'Cinnamomum camphora', 'Citrus', 'Citrus aurantifolia', 'Citrus aurantium', 'Citrus hystrix', 'Coriandrum sativum', 'Cuminum cyminum L.', 'Curcuma amada', 'Curcuma mangga', 'Daucus carota', 'Elettaria cardamomum', 'Eucalyptus', 'Foeniculum vulgare', 'Garcinia dulcis', 'Helianthus annuus', 'Mangifera indica', 'Melaleuca leucadendra L.', 'Mentha arvensis L.', 'Mentha piperita L.', 'Murraya paniculata', 'Ocimum basilicum', 'Ocimum gratissimum', 'Piper nigrum', 'Psidium guajava', 'Solanum lycopersicum', 'Thymus vulgaris', 'Valeriana officinalis', 'Zingiber officinale']",33
